 ,231225,
危,2602,6年生
奈,2595,
侵,2593,中学校
宅,2582,6年生
捕,2574,中学校
婚,2573,中学校
辞,2572,4年生
講,2571,5年生
析,2567,中学校
油,2558,3年生
討,2556,6年生
枚,2553,6年生
閉,2551,6年生
昇,2534,中学校
余,2534,5年生
祭,2525,3年生
微,2523,中学校
摩,2519,中学校
簡,2512,6年生
哲,2494,中学校
荷,2480,3年生
災,2469,5年生
授,2460,5年生
弱,2454,2年生
崩,2446,中学校
罪,2446,5年生
唱,2444,4年生
勤,2439,6年生
覧,2433,6年生
副,2423,4年生
納,2422,6年生
絡,2416,中学校
底,2413,4年生
遅,2409,中学校
訪,2403,6年生
堂,2394,4年生
績,2389,5年生
暗,2388,3年生
困,2383,6年生
買,2383,2年生
摘,2378,中学校
岐,2377,中学校
巨,2376,中学校
肉,2374,2年生
祖,2372,5年生
課,2357,4年生
貴,2354,6年生
季,2348,4年生
症,2345,中学校
曜,2345,2年生
黄,2342,2年生
探,2341,6年生
誤,2338,6年生
致,2334,中学校
欠,2328,4年生
静,2326,4年生
審,2322,中学校
択,2321,中学校
駆,2307,中学校
雨,2305,1年生
掛,2300,中学校
請,2295,中学校
談,2293,3年生
揮,2290,6年生
到,2288,中学校
躍,2288,中学校
庭,2283,3年生
押,2280,中学校
繰,2278,中学校
架,2277,中学校
湖,2272,3年生
忠,2249,6年生
触,2241,中学校
献,2227,中学校
晶,2227,中学校
片,2207,6年生
唯,2200,中学校
丸,2200,2年生
誕,2196,6年生
老,2195,4年生
襲,2188,中学校
練,2174,3年生
息,2164,3年生
酒,2159,3年生
妻,2156,5年生
栄,2153,4年生
→,2150,
撤,2146,中学校
排,2145,中学校
迎,2144,中学校
健,2143,4年生
樹,2140,6年生
坂,2138,3年生
房,2134,中学校
魚,2123,2年生
詩,2120,3年生
吸,2107,6年生
犯,2097,5年生
敷,2079,中学校
賃,2077,6年生
隣,2073,中学校
七,2070,1年生
訴,2068,中学校
苦,2068,3年生
之,2068,
陣,2066,中学校
浦,2063,中学校
軸,2063,中学校
益,2054,5年生
申,2043,3年生
　,2037,
沖,2034,中学校
狭,2031,中学校
械,2022,4年生
粒,2016,中学校
鉱,2015,5年生
雪,2010,2年生
答,2009,2年生
聴,1990,中学校
香,1989,中学校
踏,1987,中学校
炭,1980,3年生
締,1970,中学校
疑,1970,6年生
隔,1969,中学校
束,1969,4年生
針,1966,6年生
冬,1962,2年生
里,1962,2年生
序,1961,5年生
舎,1958,5年生
慣,1953,5年生
払,1952,中学校
免,1937,中学校
君,1936,3年生
脈,1932,4年生
譲,1926,中学校
削,1924,中学校
砂,1924,6年生
棋,1923,中学校
蒸,1920,6年生
票,1917,4年生
兄,1917,2年生
染,1910,6年生
仙,1905,中学校
誘,1901,中学校
卒,1897,4年生
損,1895,5年生
瀬,1891,中学校
惑,1890,中学校
孫,1890,4年生
遣,1886,中学校
唐,1883,中学校
衝,1881,中学校
双,1881,中学校
傷,1878,6年生
騎,1873,中学校
陰,1857,中学校
還,1853,中学校
征,1851,中学校
願,1843,4年生
露,1841,中学校
索,1832,中学校
奪,1817,中学校
